code,titre
a,Champ non indiqué
b,"Outils, méthodes et modèles"
c,Application à une discipline scientifique
d,Application à une discipline du droit et des sciences humaines
e,"Application à une discipline des lettres, arts et langues"
f,Application à une technologie ou à une activité de production
g,Application à une activité des services
m,Fonction non indiquée ou plurifonctionnelle
n,Conception
p,"Organisation, gestion"
r,"Contrôle, prévention, entretien"
s,Production
t,Réalisation du service
u,"Conduite, surveillance de machine"
v,Production à caractère artistique (métiers d'art)
w,Commercialisation
z,"Développement personnel
"
